,height,weight,url,name,firstyear,lastyear,primary_pos
5391,6-00,185,player.php?p=fioremi01,Mike Fiore,1968,1972,RF
5392,6-04,210,player.php?p=fioreto01,Tony Fiore,2000,2003,P
5393,6-01,190,player.php?p=fioreje01,Jeff Fiorentino,2005,2009,RF
5394,6-02,195,player.php?p=fireost01,Steve Fireovid,1981,1992,P
5395,6-00,185,player.php?p=firovda01,Dan Firova,1981,1988,C
5396,6-01,168,player.php?p=firthte01,John Firth,1884,1884,P
5397,6-00,190,player.php?p=fischbi01,Bill Fischer,1956,1964,P
5398,6-00,180,player.php?p=fischca01,Carl Fischer,1930,1937,P
5399,6-00,190,player.php?p=fischha01,Hank Fischer,1962,1967,P
5400,6-03,185,player.php?p=fischje01,Jeff Fischer,1987,1989,P
5401,Unknown,Unknown,player.php?p=fishej01,John Fischer,1884,1885,1B
5402,6-04,190,player.php?p=fischru01,Rube Fischer,1941,1946,P
5403,5-10,170,player.php?p=fischto01,Todd Fischer,1986,1986,P
5404,6-00,174,player.php?p=fischwi01,William Fischer,1913,1917,1B
5405,6-01,165,player.php?p=fischmi01,Mike Fischlin,1977,1987,C
5406,5-09,157,player.php?p=fishbsa01,Sam Fishburn,1919,1919,1B
5407,5-11,185,player.php?p=fishejo01,John Fishel,1988,1988,RF
5408,6-00,175,player.php?p=fishele01,Leo Fishel,1899,1899,P
5409,5-09½,170,player.php?p=fishebo01,Bob Fisher,1912,1919,3B
5410,6-04,210,player.php?p=fishebr01,Brian Fisher,1985,1992,P
5411,6-04,225,player.php?p=fisheca01,Carlos Fisher,2009,2011,P
5412,5-08,143,player.php?p=fishech02,Charles Fisher,1884,1884,SS
5413,Unknown,Unknown,player.php?p=fishech03,Charles Fisher,1889,1889,LF
5414,5-11,175,player.php?p=fishech04,Chauncey Fisher,1893,1901,P
5415,5-09,164,player.php?p=fishech01,Cherokee Fisher,1876,1878,SS
5416,6-00,174,player.php?p=fishecl01,Clarence Fisher,1919,1920,P
5417,6-03,205,player.php?p=fishede01,Derek Fisher,2017,2018,CF
5418,6-00,210,player.php?p=fishedo01,Don Fisher,1945,1945,P
5419,6-02,200,player.php?p=fisheed01,Ed Fisher,1902,1902,P
5420,6-02½,200,player.php?p=fisheed02,Eddie Fisher,1959,1973,P
5421,6-01,180,player.php?p=fishefr01,Fritz Fisher,1964,1964,P
5422,5-09,Unknown,player.php?p=fishege01,George Fisher,1884,1884,C
5423,5-10,175,player.php?p=fishegu01,Gus Fisher,1911,1912,1B
5424,6-00,180,player.php?p=fisheha01,Harry Fisher,1952,1952,P
5425,6-02,215,player.php?p=fisheja01,Jack Fisher,1959,1969,P
5426,6-05,210,player.php?p=fishema01,Maurice Fisher,1955,1955,P
5427,5-09½,171,player.php?p=fishene01,Newt Fisher,1898,1898,3B
5428,5-11½,180,player.php?p=fishera01,Ray Fisher,1910,1920,P
5429,5-09,176,player.php?p=fishere01,Red Fisher,1910,1910,OF
5430,5-10,170,player.php?p=fishesh01,Showboat Fisher,1923,1932,LF
5431,5-10½,185,player.php?p=fisheto01,Tom Fisher,1904,1904,CF
5432,6-00,180,player.php?p=fisheto02,Tom Fisher,1967,1967,P
5433,6-00,174,player.php?p=fishewi01,Wilbur Fisher,1916,1916,P
5434,6-02,220,player.php?p=fiskca01,Carlton Fisk,1969,1993,3B
5435,5-11,185,player.php?p=fiskema01,Max Fiske,1914,1914,P
5436,5-06,137,player.php?p=fislewe01,Wes Fisler,1876,1876,SS
5437,6-08,210,player.php?p=fistedo01,Doug Fister,2009,2018,P
5438,5-08½,156,player.php?p=fittepa01,Paul Fittery,1914,1917,CF
5439,6-01½,170,player.php?p=fitzbch01,Charlie Fitzberger,1928,1928,CF
5440,5-11,175,player.php?p=fitgebr01,Brian Fitzgerald,2002,2002,P
5441,5-10,160,player.php?p=fitzgde01,Dennis Fitzgerald,1890,1890,SS
5442,6-00,180,player.php?p=fitzged01,Ed Fitz Gerald,1948,1959,3B
5443,5-11½,163,player.php?p=fitzgho01,Howie Fitzgerald,1922,1926,CF
5444,5-08,162,player.php?p=fitzgjo02,John Fitzgerald,1890,1890,P
5445,Unknown,Unknown,player.php?p=fitzgjo03,John Fitzgerald,1891,1891,P
5446,6-03,190,player.php?p=fitzgjo04,John Fitzgerald,1958,1958,P
5447,5-08,160,player.php?p=fitzgmi01,Justin Fitzgerald,1911,1918,CF
5448,6-00,185,player.php?p=fitzgma01,Matty Fitzgerald,1906,1907,C
5449,5-11,190,player.php?p=fitzgmi02,Mike Fitzgerald,1983,1992,2B
5450,6-01,196,player.php?p=fitzgmi03,Mike Fitzgerald,1988,1988,1B
5451,5-09,168,player.php?p=fitzgra01,Ray Fitzgerald,1931,1931,1B
5452,5-09,162,player.php?p=fitzgwa01,Warren Fitzgerald,1891,1892,CF
5453,5-11½,185,player.php?p=fitzkpa01,Paul Fitzke,1924,1924,P
5454,6-00,180,player.php?p=fitzmsh01,Shaun Fitzmaurice,1966,1966,LF
5455,6-02,190,player.php?p=fitzmal01,Al Fitzmorris,1969,1978,P
5456,5-08,165,player.php?p=fitzped01,Ed Fitzpatrick,1915,1917,LF
5457,5-11,185,player.php?p=fitzsfr01,Freddie Fitzsimmons,1925,1943,P
5458,6-01,190,player.php?p=fitzsto01,Tom Fitzsimmons,1919,1919,3B
5459,5-07,148,player.php?p=flackma01,Max Flack,1914,1925,CF
5460,5-11,160,player.php?p=flagewa01,Wally Flager,1945,1945,2B
5461,5-09,165,player.php?p=flagsir01,Ira Flagstead,1917,1930,3B
5462,6-04,205,player.php?p=flaheja01,Jack Flaherty,2017,2018,P
5463,6-01,195,player.php?p=flahejo01,John Flaherty,1992,2005,1B
5464,Unknown,Unknown,player.php?p=flahema01,Martin Flaherty,1881,1881,OF
5465,5-09,166,player.php?p=flahepa01,Pat Flaherty,1894,1894,3B
5466,5-08,165,player.php?p=flahepa02,Patsy Flaherty,1899,1911,LF
5467,6-03,220,player.php?p=flahery01,Ryan Flaherty,2016,2018,P
5468,6-04,195,player.php?p=flairal01,Al Flair,1941,1941,1B
5469,6-00,175,player.php?p=flanach01,Charlie Flanagan,1913,1913,3B
5470,6-01,190,player.php?p=flanaed01,Ed Flanagan,1887,1889,1B
5471,6-00,195,player.php?p=flanami01,Mike Flanagan,1975,1992,P
5472,6-01,185,player.php?p=flanast01,Steamer Flanagan,1905,1905,CF
5473,6-02,180,player.php?p=flandyo01,Yohan Flande,2014,2016,P
5474,6-00,190,player.php?p=flanira01,Ray Flanigan,1946,1946,P
5475,6-03,175,player.php?p=flanito01,Tom Flanigan,1954,1958,P
5476,6-03,173,player.php?p=flannjo01,John Flannery,1977,1977,3B
5477,5-11,175,player.php?p=flannti01,Tim Flannery,1979,1989,SS
5478,5-07,140,player.php?p=flaskro01,Roy Flaskamper,1927,1927,SS
5479,5-10,175,player.php?p=flateja01,Jack Flater,1908,1908,P
5480,6-02,208,player.php?p=flavijo01,John Flavin,1964,1964,P
5481,5-09,160,player.php?p=fleitan01,Angel Fleitas,1948,1948,SS
5482,6-00,190,player.php?p=flemibi01,Bill Fleming,1940,1946,P
5483,6-03,200,player.php?p=flemida01,Dave Fleming,1991,1995,P
5484,5-10,185,player.php?p=flemile01,Les Fleming,1939,1949,LF
5485,5-11,155,player.php?p=flemito01,Tom Fleming,1899,1904,OF
5486,5-11,185,player.php?p=flenehu01,Huck Flener,1993,1997,P
5487,5-10½,170,player.php?p=fletcar01,Art Fletcher,1909,1922,2B
5488,6-01,199,player.php?p=fletcda01,Darrin Fletcher,1989,2002,C
5489,5-10,175,player.php?p=fletcda02,David Fletcher,2018,2018,2B
5490,6-00,180,player.php?p=fletcel01,Elbie Fletcher,1934,1949,1B
5491,5-10,165,player.php?p=fletcfr01,Frank Fletcher,1914,1914,1B
5492,6-01,185,player.php?p=fletcpa01,Paul Fletcher,1993,1996,P
5493,6-02,210,player.php?p=fletcsa01,Sam Fletcher,1909,1912,P
5494,5-11,173,player.php?p=fletcsc01,Scott Fletcher,1981,1995,1B
5495,6-00,170,player.php?p=fletcto01,Tom Fletcher,1962,1962,P
5496,6-02,185,player.php?p=fletcva01,Van Fletcher,1955,1955,P
5497,6-03,250,player.php?p=flexech01,Chris Flexen,2017,2018,P
5498,5-09,168,player.php?p=flickel01,Elmer Flick,1898,1910,2B
5499,5-09,155,player.php?p=flickle01,Lew Flick,1943,1944,CF
5500,6-01,185,player.php?p=flinndo01,Don Flinn,1917,1917,RF
5501,6-00,175,player.php?p=flinnjo01,John Flinn,1978,1982,P
5502,6-00,180,player.php?p=flintsi01,Silver Flint,1878,1889,1B
5503,6-02,180,player.php?p=flitchi01,Hilly Flitcraft,1942,1942,P
5504,6-00,173,player.php?p=flohrmo01,Mort Flohr,1934,1934,P
5505,5-09,165,player.php?p=floodcu01,Curt Flood,1956,1971,RF
5506,5-09,160,player.php?p=floodti01,Tim Flood,1899,1903,CF
5507,6-00,180,player.php?p=florake01,Kevin Flora,1991,1995,2B
5508,6-00,195,player.php?p=floredo01,Don Florence,1995,1995,P
5509,6-01,185,player.php?p=florepa01,Paul Florence,1926,1926,C
5510,6-00,185,player.php?p=floregi01,Gil Flores,1977,1979,RF
5511,5-10,175,player.php?p=floreje01,Jesse Flores,1942,1950,P
5512,6-01,210,player.php?p=floreje02,Jesus Flores,2007,2012,C
5513,5-11,180,player.php?p=florejo01,Jose Flores,2002,2004,SS
5514,6-02,175,player.php?p=floreke01,Kendry Flores,2015,2016,P
5515,5-10,190,player.php?p=florera02,Ramon Flores,2015,2017,1B
5516,6-00,185,player.php?p=florera01,Randy Flores,2002,2010,P
5517,5-11,190,player.php?p=florero01,Ron Flores,2005,2007,P
5518,6-03,205,player.php?p=florewi01,Wilmer Flores,2013,2018,2B
5519,6-00,185,player.php?p=floribr01,Bryce Florie,1994,2001,P
5520,6-02,185,player.php?p=floripe01,Pedro Florimon,2018,2018,LF
5521,6-02,205,player.php?p=florody01,Dylan Floro,2016,2018,P
5522,6-04,195,player.php?p=flowebe01,Ben Flowers,1951,1956,P
5523,5-11½,170,player.php?p=floweja01,Jake Flowers,1923,1934,RF
5524,6-04,260,player.php?p=flowety01,Tyler Flowers,2009,2018,1B
5525,6-01½,190,player.php?p=flowewe01,Wes Flowers,1940,1944,P
5526,6-00,181,player.php?p=floydbo01,Bobby Floyd,1968,1974,3B
5527,5-11,160,player.php?p=floydbu01,Bubba Floyd,1944,1944,SS
5528,6-04,230,player.php?p=floydcl01,Cliff Floyd,1993,2009,CF
5529,6-06,245,player.php?p=floydga01,Gavin Floyd,2004,2016,P
5530,5-09,165,player.php?p=fluhrjo01,John Fluhrer,1915,1915,LF
5531,6-07,255,player.php?p=flynnbr01,Brian Flynn,2013,2018,P
5532,5-11,165,player.php?p=flynnca01,Carney Flynn,1894,1896,P
5533,5-11,165,player.php?p=flynndo01,Doug Flynn,1975,1985,3B
5534,5-09,165,player.php?p=flynned01,Ed Flynn,1887,1887,RF
5535,5-09,150,player.php?p=flynnge01,George Flynn,1896,1896,LF
5536,5-06½,143,player.php?p=flynnjo02,Jocko Flynn,1886,1887,RF
5537,Unknown,Unknown,player.php?p=flynnjo01,Joe Flynn,1884,1884,SS
5538,6-00½,175,player.php?p=flynnjo03,John Flynn,1910,1912,RF
5539,Unknown,Unknown,player.php?p=flynnmi01,Mike Flynn,1891,1891,C
5540,6-02,175,player.php?p=flythst01,Stu Flythe,1936,1936,P
5541,6-00,175,player.php?p=fodgege01,Gene Fodge,1958,1958,P
5542,5-10½,180,player.php?p=fogarji01,Jim Fogarty,1884,1890,P
5543,5-11,190,player.php?p=fogarjo01,John Fogarty,1885,1885,LF
5544,6-02,205,player.php?p=foggjo01,Josh Fogg,2001,2009,P
5545,5-10,175,player.php?p=fohlle01,Lee Fohl,1902,1903,C
5546,6-00,195,player.php?p=foileha01,Hank Foiles,1953,1964,C
5547,5-10,160,player.php?p=foleycu01,Curry Foley,1879,1883,RF
5548,Unknown,Unknown,player.php?p=foleyjo01,John Foley,1885,1885,P
5549,6-00,195,player.php?p=foleyma01,Marv Foley,1978,1984,3B
5550,5-11,173,player.php?p=foleyra01,Ray Foley,1928,1928,3B
5551,6-01,180,player.php?p=foleyto02,Tom Foley,1989,1995,P
5552,5-09½,150,player.php?p=foleywi01,Will Foley,1876,1884,2B
5553,6-00,179,player.php?p=foliti01,Tim Foli,1970,1985,LF
5554,6-02,180,player.php?p=folkeri01,Rich Folkers,1970,1977,P
5555,6-04,200,player.php?p=foltymi01,Michael Foltynewicz,2014,2018,P
5556,6-03,196,player.php?p=fondyde01,Dee Fondy,1951,1958,LF
5557,5-10½,180,player.php?p=fonsele01,Lew Fonseca,1932,1933,P
5558,6-04,265,player.php?p=fontwi01,Wilmer Font,2012,2018,P
5559,5-11,195,player.php?p=fontano01,Nolan Fontana,2017,2018,3B
5560,6-02,185,player.php?p=fontejo01,Joe Fontenot,1998,1998,P
5561,5-08,165,player.php?p=fontemi01,Mike Fontenot,2005,2012,SS
5562,6-00,175,player.php?p=fontera01,Ray Fontenot,1983,1986,P
5563,5-06,155,player.php?p=fonvich01,Chad Fonville,1995,1999,3B
5564,6-02,170,player.php?p=foorji01,Jim Foor,1971,1973,P
5565,6-03,210,player.php?p=footeba01,Barry Foote,1973,1982,1B
5566,6-06,210,player.php?p=foppeje01,Jesse Foppert,2003,2005,P
5567,5-10,160,player.php?p=forbep01,P.J. Forbes,1998,2001,3B
5568,5-04,130,player.php?p=forceda01,Davy Force,1876,1886,RF
5569,6-07,200,player.php?p=fordbe01,Ben Ford,1998,2004,P
5570,6-02,200,player.php?p=fordbi01,Bill Ford,1936,1936,P
5571,5-10,150,player.php?p=fordcu01,Curt Ford,1985,1990,2B
5572,6-01,185,player.php?p=fordda01,Dan Ford,1975,1985,LF
5573,5-09,190,player.php?p=fordda03,Darren Ford,2010,2011,CF
5574,6-04,190,player.php?p=fordda02,Dave Ford,1978,1981,P
5575,5-09½,160,player.php?p=forded01,Ed Ford,1884,1884,1B
5576,6-00,170,player.php?p=fordge01,Gene Ford,1905,1905,P
5577,6-02,195,player.php?p=fordge02,Gene Ford,1936,1938,P
5578,5-10,165,player.php?p=fordho01,Hod Ford,1919,1933,1B
5579,6-00,200,player.php?p=fordle01,Lew Ford,2003,2012,RF
5580,6-01,175,player.php?p=fordma01,Matt Ford,2003,2003,P
5581,5-11,175,player.php?p=fordru01,Russ Ford,1909,1915,2B
5582,5-10,180,player.php?p=fordte01,Ted Ford,1970,1973,CF
5583,5-10½,155,player.php?p=fordto01,Tom Ford,1890,1890,SS
5584,5-11,165,player.php?p=fordwe01,Wenty Ford,1973,1973,P
5585,5-10,181,player.php?p=fordwh01,Whitey Ford,1950,1967,P
5586,6-02,210,player.php?p=fordhto01,Tom Fordham,1997,1998,P
5587,6-01,185,player.php?p=fordybr01,Brook Fordyce,1995,2004,C
5588,5-08,150,player.php?p=forembr01,Brownie Foreman,1895,1896,P
5589,6-00,160,player.php?p=foremfr01,Frank Foreman,1884,1902,LF
5590,5-07,160,player.php?p=foremha01,Happy Foreman,1924,1926,P
5591,5-11,180,player.php?p=formabi01,Bill Forman,1909,1910,P
5592,6-01,225,player.php?p=fornaer01,Eric Fornataro,2014,2014,P
5593,5-11,172,player.php?p=fornimi01,Mike Fornieles,1952,1963,P
5594,6-04,200,player.php?p=forscbo01,Bob Forsch,1974,1989,P
5595,6-04,210,player.php?p=forscke01,Ken Forsch,1970,1986,P
5596,6-01,194,player.php?p=forstsc01,Scott Forster,2000,2000,P
5597,6-03,210,player.php?p=forstte01,Terry Forster,1971,1986,RF
5598,5-09,153,player.php?p=forstto01,Tom Forster,1882,1886,3B
5599,5-10,155,player.php?p=forsyed01,Ed Forsythe,1915,1915,3B
5600,6-01,205,player.php?p=forsylo01,Logan Forsythe,2011,2018,RF
5601,6-01,195,player.php?p=fortuti01,Tim Fortugno,1992,1995,P
5602,6-01,195,player.php?p=fortuba01,Bartolome Fortunato,2004,2006,P
5603,5-11½,176,player.php?p=fortuga01,Gary Fortune,1916,1920,P
5604,6-04,195,player.php?p=fosnoje01,Jerry Fosnow,1964,1965,P
5605,5-10½,170,player.php?p=fossge01,George Foss,1921,1921,3B
5606,6-02,187,player.php?p=fossla01,Larry Foss,1961,1962,P
5607,6-00,187,player.php?p=fossato01,Tony Fossas,1988,1999,P
5608,6-02,215,player.php?p=fossera01,Ray Fosse,1967,1979,2B
5609,6-01,160,player.php?p=fossuca01,Casey Fossum,2001,2009,P
5610,6-00,180,player.php?p=fosteal01,Alan Foster,1967,1976,P
5611,6-01,157,player.php?p=fosteed01,Ed Foster,1908,1908,P
5612,5-06½,145,player.php?p=fosteed02,Eddie Foster,1910,1923,SS
5613,5-10,178,player.php?p=fosteel01,Elmer Foster,1886,1891,3B
5614,6-01,185,player.php?p=fostege01,George Foster,1969,1986,1B
5615,6-00,200,player.php?p=fostejo01,John Foster,2002,2005,P
5616,6-01,170,player.php?p=fosteke01,Kevin Foster,1993,2001,P
5617,6-01,200,player.php?p=fostekr01,Kris Foster,2001,2001,P
5618,6-00,185,player.php?p=fostela01,Larry Foster,1963,1963,P
5619,5-11,165,player.php?p=fostele01,Leo Foster,1971,1977,RF
5620,5-08½,Unknown,player.php?p=fostepo01,Pop Foster,1898,1901,2B
5621,5-07,175,player.php?p=fostere01,Reddy Foster,1896,1896,2B
5622,Unknown,Unknown,player.php?p=fostero02,Robert Foster,1884,1884,RF
5623,6-00,185,player.php?p=fostero01,Roy Foster,1970,1972,RF
5624,5-08,170,player.php?p=fosteru01,Rube Foster,1913,1917,LF
5625,6-00,180,player.php?p=fostest01,Steve Foster,1991,1993,P
5626,5-10½,230,player.php?p=fothebo01,Bob Fothergill,1922,1933,CF
5627,6-00,205,player.php?p=foucast01,Steve Foucault,1973,1978,P
5628,6-00,195,player.php?p=foulkke01,Keith Foulke,1997,2008,P
5629,5-09½,160,player.php?p=fournhe01,Henry Fournier,1894,1894,P
5630,6-00,195,player.php?p=fournja01,Jack Fournier,1922,1927,P
5631,Unknown,Unknown,player.php?p=fousebi01,Bill Fouser,1876,1876,1B
5632,6-02,161,player.php?p=foutzda01,Dave Foutz,1884,1896,SS
5633,5-11,165,player.php?p=foutzfr01,Frank Foutz,1901,1901,1B
5634,5-11,180,player.php?p=fowlear01,Art Fowler,1954,1964,P
5635,5-11½,180,player.php?p=fowlebo01,Boob Fowler,1923,1926,2B
5636,6-05,195,player.php?p=fowlede01,Dexter Fowler,2008,2018,RF
5637,6-05,215,player.php?p=fowledi01,Dick Fowler,1941,1952,P
5638,6-00,195,player.php?p=fowledu01,Dustin Fowler,2017,2018,RF
5639,5-10½,158,player.php?p=fowleje01,Jesse Fowler,1924,1924,P
5640,6-02,190,player.php?p=fowlkal01,Alan Fowlkes,1982,1985,P
5641,6-04,205,player.php?p=foxan01,Andy Fox,1996,2004,CF
5642,5-10,160,player.php?p=foxbi01,Bill Fox,1897,1901,SS
5643,6-03,175,player.php?p=foxch02,Chad Fox,1997,2009,P
5644,5-11,180,player.php?p=foxch01,Charlie Fox,1942,1942,C
5645,5-10,180,player.php?p=foxer01,Eric Fox,1992,1995,LF
5646,6-03,210,player.php?p=foxho01,Howie Fox,1944,1954,P
5647,5-10,185,player.php?p=foxja01,Jack Fox,1908,1908,OF
5648,Unknown,Unknown,player.php?p=foxhe01,Jacob Fox,1902,1902,P
5649,6-00,220,player.php?p=foxja02,Jake Fox,2007,2011,RF
5650,Unknown,Unknown,player.php?p=foxjo01,John Fox,1881,1886,SS
5651,6-02,195,player.php?p=foxma01,Matt Fox,2010,2010,P
5652,5-09,150,player.php?p=foxne01,Nellie Fox,1947,1965,1B
5653,5-09,185,player.php?p=foxpa01,Paddy Fox,1891,1899,C
5654,5-11,165,player.php?p=foxpe01,Pete Fox,1933,1945,LF
5655,6-00,175,player.php?p=foxte01,Terry Fox,1960,1966,P
5656,5-11½,165,player.php?p=foxenbi01,Bill Foxen,1908,1911,P
5657,6-00,195,player.php?p=foxxji01,Jimmie Foxx,1939,1945,SS
5658,6-00,215,player.php?p=foyjo01,Joe Foy,1966,1971,RF
5659,5-11,180,player.php?p=foytapa01,Paul Foytack,1953,1964,P
5660,6-00,190,player.php?p=frailke01,Ken Frailing,1972,1976,P
5661,5-08,155,player.php?p=francos01,Ossie France,1890,1890,P
5662,6-02,215,player.php?p=francea01,Earl Francis,1960,1965,P
5663,6-05,220,player.php?p=francje01,Jeff Francis,2004,2015,P
5664,6-01½,182,player.php?p=francra01,Ray Francis,1922,1925,P
5665,6-01,195,player.php?p=francbe01,Ben Francisco,2007,2013,CF
5666,6-02,250,player.php?p=francfr01,Frank Francisco,2004,2014,P
5667,6-02,245,player.php?p=francju02,Juan Francisco,2009,2014,1B
5668,5-10,185,player.php?p=francjo01,John Franco,1984,2005,P
5669,6-01,210,player.php?p=francju01,Julio Franco,1982,2007,RF
5670,6-01,215,player.php?p=francma02,Maikel Franco,2014,2018,1B
5671,6-02,200,player.php?p=francma01,Matt Franco,1999,2003,P
5672,6-04,225,player.php?p=francje02,Jeff Francoeur,2015,2016,P
5673,6-01,190,player.php?p=francte01,Terry Francona,1989,1990,3B
5674,5-11,190,player.php?p=francti01,Tito Francona,1956,1970,CF
5675,6-00,190,player.php?p=frandke01,Kevin Frandsen,2006,2015,RF
5676,5-10,170,player.php?p=frankch01,Charlie Frank,1894,1894,P
5677,5-09,162,player.php?p=frankfr01,Fred Frank,1898,1898,OF
5678,6-02,185,player.php?p=frankmi02,Mike Frank,1998,1998,LF
5679,5-11,175,player.php?p=frankfr02,Fred Frankhouse,1927,1939,P
5680,5-11½,170,player.php?p=frankja01,Jack Franklin,1944,1944,P
5681,6-02,180,player.php?p=frankja02,Jay Franklin,1971,1971,P
5682,6-00,205,player.php?p=frankmi01,Micah Franklin,1997,1997,LF
5683,6-00,175,player.php?p=frankmo01,Moe Franklin,1941,1942,3B
5684,6-01,190,player.php?p=frankni01,Nick Franklin,2015,2018,P
5685,6-03,165,player.php?p=frankry01,Ryan Franklin,1999,2011,P
5686,Unknown,Unknown,player.php?p=frank01,Unknown Franklin,1884,1884,CF
5687,6-02,195,player.php?p=frankwa01,Wayne Franklin,2000,2006,P
5688,6-05,210,player.php?p=frankse01,Seth Frankoff,2017,2017,P
5689,5-10½,187,player.php?p=frankhe01,Herman Franks,1939,1949,RF
5690,6-01,200,player.php?p=frascjo01,John Frascatore,1994,2001,P
5691,5-11,188,player.php?p=frasech01,Chick Fraser,1896,1909,LF
5692,6-01,206,player.php?p=frasewi01,Willie Fraser,1986,1995,P
5693,5-09,180,player.php?p=frasoja01,Jason Frasor,2004,2015,P
5694,5-09,180,player.php?p=fraziad01,Adam Frazier,2016,2018,SS
5695,6-01,190,player.php?p=frazicl01,Clint Frazier,2017,2018,CF
5696,6-05,205,player.php?p=frazige01,George Frazier,1978,1987,P
5697,6-03,195,player.php?p=frazije01,Jeff Frazier,2010,2010,RF
5698,6-00,180,player.php?p=frazijo01,Joe Frazier,1947,1956,1B
5699,6-02,175,player.php?p=frazilo01,Lou Frazier,1993,1998,RF
5700,6-03,220,player.php?p=frazito01,Todd Frazier,2011,2018,RF
5701,6-00,182,player.php?p=frazivi01,Vic Frazier,1931,1939,P
5702,5-11,165,player.php?p=fredejo01,Johnny Frederick,1929,1934,1B
5703,6-01,210,player.php?p=fredeke01,Kevin Frederick,2002,2004,P
5704,6-03,215,player.php?p=fredrsc01,Scott Fredrickson,1993,1993,P
5705,5-06,165,player.php?p=freeded01,Ed Freed,1942,1942,RF
5706,6-00,190,player.php?p=freedro01,Roger Freed,1970,1979,C
5707,6-02,205,player.php?p=freehbi01,Bill Freehan,1961,1976,RF
5708,5-09,180,player.php?p=freelry01,Ryan Freel,2001,2009,LF
5709,6-03,170,player.php?p=freelky01,Kyle Freeland,2017,2018,P
5710,5-09,169,player.php?p=freembu01,Buck Freeman,1891,1907,2B
5711,5-10,167,player.php?p=freembu02,Buck Freeman,1921,1922,P
5712,6-02,200,player.php?p=freemch01,Choo Freeman,2004,2006,RF
5713,6-05,220,player.php?p=freemfr01,Freddie Freeman,2010,2018,3B
5714,5-10,160,player.php?p=freemha01,Harvey Freeman,1921,1921,P
5715,6-03,220,player.php?p=freemhe01,Hersh Freeman,1952,1958,3B
5716,6-02,220,player.php?p=freemje01,Jerry Freeman,1908,1909,LF
5717,6-04,180,player.php?p=freemji01,Jimmy Freeman,1972,1973,P
5718,5-08,160,player.php?p=freemjo01,John Freeman,1927,1927,LF
5719,Unknown,Unknown,player.php?p=freemju01,Julie Freeman,1888,1888,P
5720,5-11,175,player.php?p=freemju02,Justin Freeman,2013,2013,P
5721,5-09,170,player.php?p=freemla01,La Vel Freeman,1989,1989,P
5722,6-04,220,player.php?p=freemma01,Mark Freeman,1959,1960,P
5723,6-07,222,player.php?p=freemma02,Marvin Freeman,1986,1996,P
5724,6-00,190,player.php?p=freemmi01,Mike Freeman,2017,2017,RF
5725,5-11,180,player.php?p=freemsa01,Sam Freeman,2012,2018,P
5726,6-02,220,player.php?p=freesda01,David Freese,2009,2018,C
5727,5-11,175,player.php?p=freesge02,Gene Freese,1955,1966,LF
5728,6-00,190,player.php?p=freesge01,George Freese,1953,1961,3B
5729,5-08,150,player.php?p=freezja01,Jake Freeze,1925,1925,P
5730,6-01,190,player.php?p=fregoji01,Jim Fregosi,1961,1978,2B
5731,6-01,170,player.php?p=freibve01,Vern Freiburger,1941,1941,1B
5732,5-10½,160,player.php?p=freigho01,Howard Freigau,1922,1928,LF
5733,6-08,250,player.php?p=freimna01,Nate Freiman,2013,2014,1B
5734,6-02,225,player.php?p=freiral01,Alejandro Freire,2005,2005,LF
5735,5-11,200,player.php?p=freisda01,Dave Freisleben,1974,1979,P
5736,6-03,225,player.php?p=freitda01,David Freitas,2017,2018,1B
5737,5-08,161,player.php?p=freitto01,Tony Freitas,1932,1936,P
5738,5-06,140,player.php?p=frencch01,Charlie French,1909,1910,RF
5739,5-07,182,player.php?p=frencji01,Jim French,1965,1971,LF
5740,6-01,195,player.php?p=frencla01,Larry French,1929,1942,P
5741,6-04,220,player.php?p=frenclu01,Luke French,2009,2010,P
5742,6-01,180,player.php?p=frencpa01,Pat French,1917,1917,RF
5743,5-09½,158,player.php?p=frencra01,Ray French,1920,1924,2B
5744,5-07½,155,player.php?p=frencwa01,Walt French,1923,1929,CF
5745,5-10,180,player.php?p=frienfr01,Lawrence Freund,1896,1896,C
5746,5-10,165,player.php?p=freybe01,Benny Frey,1929,1936,P
5747,5-10,160,player.php?p=freylo01,Lonny Frey,1933,1948,LF
5748,5-09,170,player.php?p=freyst01,Steve Frey,1989,1996,P
5749,6-04,195,player.php?p=friasca01,Carlos Frias,2014,2016,P
5750,6-00,160,player.php?p=friasha01,Hanley Frias,1997,2000,3B
5751,5-10,159,player.php?p=friaspe01,Pepe Frias,1973,1981,LF
5752,5-11,178,player.php?p=fribebe01,Bernie Friberg,1925,1933,C
5753,6-00,170,player.php?p=fricama01,Marion Fricano,1952,1955,P
5754,5-11,170,player.php?p=fridask01,Skipper Friday,1923,1923,P
5755,6-02,205,player.php?p=fridlji01,Jim Fridley,1952,1958,RF
5756,5-11½,150,player.php?p=friedcy01,Cy Fried,1920,1920,P
5757,6-04,190,player.php?p=friedma01,Max Fried,2017,2018,P
5758,6-04,215,player.php?p=friedch01,Christian Friedrich,2012,2016,P
5759,5-11½,165,player.php?p=friedbo01,Bob Friedrichs,1932,1932,P
5760,5-10,165,player.php?p=frielbi01,Bill Friel,1902,1903,C
5761,5-11,170,player.php?p=frielpa01,Pat Friel,1890,1891,OF
5762,6-00,190,player.php?p=frienbo01,Bob Friend,1951,1966,P
5763,5-09,175,player.php?p=frienda01,Danny Friend,1895,1898,LF
